scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j
RCM,0,1,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,0,2,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,0,3,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,0,4,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,0,5,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,100,6,10272,4,6192,4076,33480,17103,283886.0972,157648.2134,1459680.0,18760.5007,2136.7821,1480577.2829
RCM,100,7,10240,4,6130,4106,33210,16765,280466.883,153999.4222,1459680.0,18418.9014,2091.9942,1480190.8956
RCM,100,8,10281,5,6113,4163,33396,17937,285175.4405,170925.0215,1459680.0,18847.3655,2295.9502,1480823.3157
RCM,100,9,10454,7,6151,4296,33864,16654,285053.0784,154912.208,1459680.0,18677.377,2095.1221,1480452.4991
RCM,100,10,10509,5,6278,4226,34089,16925,286653.8503,155309.8901,1459680.0,18793.2969,2108.7989,1480582.0958
RCM,200,11,20604,35,12275,8294,66936,34678,566811.3801,332890.2377,1459680.0,41829.0618,4453.5024,1505962.5642
RCM,200,12,20551,28,12155,8368,66565,35258,561126.5688,338884.4635,1459680.0,41533.8126,4534.2446,1505748.0573
RCM,200,13,20483,36,12250,8197,66597,34997,564565.6293,335516.0839,1459680.0,41964.2943,4485.5608,1506129.8552
RCM,200,14,20863,35,12307,8521,67401,35225,571197.0097,340502.9423,1459680.0,41909.0965,4546.1294,1506135.226
RCM,200,15,20500,34,12138,8328,66312,34540,558270.3185,330978.1705,1459680.0,41043.4183,4422.6817,1505146.1001
RCM,300,16,30942,93,18461,12388,100149,55635,846769.3794,546209.7939,1459680.0,69158.0002,7243.8979,1536081.8981
